time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,geom,location,address,state,country
2022-10-13T00:45:58.436Z,38.9978,-118.188,8.2,1.4,ml,9.0,100.74,0.084,0.1615,nn,nn00849139,2022-10-13T00:49:21.199Z,"27 km WNW of Gabbs, Nevada",earthquake,,1.0,0.26,6.0,automatic,nn,nn,"-118.188,38.9978","Nye County, Nevada, United States","{'county': 'Nye County', 'state': 'Nevada', 'ISO3166-2-lvl4': 'US-NV', 'country': 'United States', 'country_code': 'us'}",Nevada,United States
2022-10-13T00:41:05.440Z,19.1591663360596,-155.494506835938,32.5200004577637,1.94,ml,43.0,126.0,,0.119999997,hv,hv73176352,2022-10-13T00:46:34.930Z,"5 km SSW of Pāhala, Hawaii",earthquake,0.5,1.12,4.37,4.0,automatic,hv,hv,"-155.494506835938,19.1591663360596","Hawaiʻi County, Hawaii, United States","{'county': 'Hawaiʻi County', 'state': 'Hawaii', 'ISO3166-2-lvl4': 'US-HI', 'country': 'United States', 'country_code': 'us'}",Hawaii,United States
2022-10-13T00:35:03.880Z,19.4703330993652,-155.591995239258,-1.26999998092651,1.75,md,11.0,79.0,,0.159999996,hv,hv73176337,2022-10-13T00:40:33.120Z,"28 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.5,0.25,0.680000007,8.0,automatic,hv,hv,"-155.591995239258,19.4703330993652","Hawaiʻi County, Hawaii, United States","{'county': 'Hawaiʻi County', 'state': 'Hawaii', 'ISO3166-2-lvl4': 'US-HI', 'country': 'United States', 'country_code': 'us'}",Hawaii,United States
2022-10-13T00:09:08.760Z,38.7878342,-122.7685013,1.96,1.64,md,29.0,80.0,0.0145,0.03,nc,nc73792901,2022-10-13T00:41:17.018Z,"2km NW of The Geysers, CA",earthquake,0.22,0.34,0.07,8.0,automatic,nc,nc,"-122.7685013,38.7878342","Sonoma County, California, United States","{'county': 'Sonoma County', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-13T00:04:48.538Z,38.993,-118.1943,5.9,1.3,ml,10.0,101.01,0.091,0.1036,nn,nn00849137,2022-10-13T00:08:10.700Z,"27 km WNW of Gabbs, Nevada",earthquake,,1.3,0.36,6.0,automatic,nn,nn,"-118.1943,38.993","Nye County, Nevada, United States","{'county': 'Nye County', 'state': 'Nevada', 'ISO3166-2-lvl4': 'US-NV', 'country': 'United States', 'country_code': 'us'}",Nevada,United States
2022-10-13T00:01:39.190Z,38.9948,-118.1923,5.0,1.4,ml,8.0,137.46,0.089,0.1753,nn,nn00849136,2022-10-13T00:05:00.762Z,"27 km WNW of Gabbs, Nevada",earthquake,,1.7,0.33,5.0,automatic,nn,nn,"-118.1923,38.9948","Nye County, Nevada, United States","{'county': 'Nye County', 'state': 'Nevada', 'ISO3166-2-lvl4': 'US-NV', 'country': 'United States', 'country_code': 'us'}",Nevada,United States
2022-10-12T23:58:00.800Z,33.686,-116.7268333,16.02,0.7,ml,17.0,74.0,0.02723,0.18,ci,ci40360048,2022-10-13T00:19:53.096Z,"6km S of Idyllwild, CA",earthquake,0.5,0.58,0.18,14.0,reviewed,ci,ci,"-116.7268333,33.686","Riverside County, California, United States","{'county': 'Riverside County', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-12T23:47:42.897Z,38.9998,-118.1958,8.3,1.9,ml,19.0,52.08,0.088,0.1068,nn,nn00849132,2022-10-13T00:09:08.986Z,"27 km WNW of Gabbs, Nevada",earthquake,,1.5,0.27,9.0,reviewed,nn,nn,"-118.1958,38.9998","Nye County, Nevada, United States","{'county': 'Nye County', 'state': 'Nevada', 'ISO3166-2-lvl4': 'US-NV', 'country': 'United States', 'country_code': 'us'}",Nevada,United States
2022-10-12T23:34:49.807Z,35.95092392,-97.87875366,4.1426301,1.89,ml,36.0,44.46626282,0.08885221928,0.4257103553,ok,ok2022uaro,2022-10-12T23:37:53.122Z,"4 km SE of Dover, Oklahoma",earthquake,1.994513041,1.847040074,,28.0,automatic,ok,ok,"-97.87875366,35.95092392","Kingfisher County, Oklahoma, 73734, United States","{'county': 'Kingfisher County', 'state': 'Oklahoma', 'ISO3166-2-lvl4': 'US-OK', 'postcode': '73734', 'country': 'United States', 'country_code': 'us'}",Oklahoma,United States
2022-10-12T23:27:15.409Z,35.94209671,-97.89434052,4.292711258,1.87,ml,26.0,86.59587097,0.07711754739,0.3248031985,ok,ok2022uarh,2022-10-12T23:31:02.374Z,"4 km SSE of Dover, Oklahoma",earthquake,2.459098554,2.307643839,,20.0,automatic,ok,ok,"-97.89434052,35.94209671","Kingfisher County, Oklahoma, 73734, United States","{'county': 'Kingfisher County', 'state': 'Oklahoma', 'ISO3166-2-lvl4': 'US-OK', 'postcode': '73734', 'country': 'United States', 'country_code': 'us'}",Oklahoma,United States
2022-10-12T23:13:11.520Z,39.0016,-118.2044,7.9,2.0,ml,13.0,51.37,0.093,0.1418,nn,nn00849122,2022-10-12T23:59:50.402Z,"28 km WNW of Gabbs, Nevada",earthquake,,1.5,0.26,10.0,reviewed,nn,nn,"-118.2044,39.0016","Mineral County, Nevada, United States","{'county': 'Mineral County', 'state': 'Nevada', 'ISO3166-2-lvl4': 'US-NV', 'country': 'United States', 'country_code': 'us'}",Nevada,United States
2022-10-12T23:09:22.873Z,34.5061,29.0325,31.768,4.1,mb,30.0,161.0,1.785,0.73,us,us6000it5z,2022-10-12T23:30:52.040Z,"196 km SSW of Kaş, Turkey",earthquake,7.23,5.434,0.102,26.0,reviewed,us,us,"29.0325,34.5061",,0,0,0
2022-10-12T23:09:09.630Z,38.8294983,-122.8024979,0.65,0.85,md,10.0,102.0,0.008495,0.01,nc,nc73792886,2022-10-12T23:10:45.894Z,"7km W of Cobb, CA",earthquake,0.31,0.84,,1.0,automatic,nc,nc,"-122.8024979,38.8294983","Sonoma County, CAL Fire Northern Region, California, United States","{'county': 'Sonoma County', 'state_district': 'CAL Fire Northern Region', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-12T23:09:07.889Z,39.0006,-118.2023,7.8,1.5,ml,18.0,98.5,0.092,0.0853,nn,nn00849120,2022-10-12T23:53:30.675Z,"28 km WNW of Gabbs, Nevada",earthquake,,2.1,0.26,9.0,reviewed,nn,nn,"-118.2023,39.0006","Mineral County, Nevada, United States","{'county': 'Mineral County', 'state': 'Nevada', 'ISO3166-2-lvl4': 'US-NV', 'country': 'United States', 'country_code': 'us'}",Nevada,United States
2022-10-12T23:08:11.410Z,33.5191667,-116.4531667,6.77,0.92,ml,25.0,48.0,0.02333,0.21,ci,ci40360032,2022-10-13T00:20:17.460Z,"21km SW of La Quinta, CA",earthquake,0.31,0.72,0.226,23.0,reviewed,ci,ci,"-116.4531667,33.5191667","Riverside County, California, United States","{'county': 'Riverside County', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-12T23:06:56.670Z,38.9993,-118.199,8.3,1.1,ml,6.0,156.96,0.091,0.2736,nn,nn00849130,2022-10-12T23:44:09.119Z,"28 km WNW of Gabbs, Nevada",earthquake,,5.8,0.0,1.0,reviewed,nn,nn,"-118.199,38.9993","Mineral County, Nevada, United States","{'county': 'Mineral County', 'state': 'Nevada', 'ISO3166-2-lvl4': 'US-NV', 'country': 'United States', 'country_code': 'us'}",Nevada,United States
2022-10-12T23:06:30.331Z,38.9994,-118.1968,8.5,1.6,ml,15.0,71.65,0.089,0.131,nn,nn00849116,2022-10-12T23:41:01.503Z,"27 km WNW of Gabbs, Nevada",earthquake,,1.3,0.15,9.0,reviewed,nn,nn,"-118.1968,38.9994","Mineral County, Nevada, United States","{'county': 'Mineral County', 'state': 'Nevada', 'ISO3166-2-lvl4': 'US-NV', 'country': 'United States', 'country_code': 'us'}",Nevada,United States
2022-10-12T23:01:41.680Z,35.0276667,-117.6773333,0.28,1.44,ml,24.0,60.0,0.09435,0.26,ci,ci40360024,2022-10-12T23:05:16.793Z,"4km NW of Boron, CA",quarry blast,0.79,31.61,0.105,25.0,automatic,ci,ci,"-117.6773333,35.0276667","Baker, Boron, Kern County, California, United States","{'hamlet': 'Baker', 'village': 'Boron', 'county': 'Kern County', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-12T22:57:34.780Z,35.0363333,-119.0038333,14.73,1.54,ml,27.0,75.0,0.1257,0.29,ci,ci40360016,2022-10-12T23:01:14.428Z,"12km NNW of Grapevine, CA",earthquake,0.69,0.89,0.127,29.0,automatic,ci,ci,"-119.0038333,35.0363333","Kern County, California, United States","{'county': 'Kern County', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-12T22:56:56.310Z,35.0475,-119.0321667,12.89,1.43,ml,17.0,118.0,0.1465,0.21,ci,ci40360008,2022-10-12T23:07:43.900Z,"15km NW of Grapevine, CA",earthquake,0.64,1.38,0.118,22.0,automatic,ci,ci,"-119.0321667,35.0475","Kern County, CAL Fire Southern Region, California, United States","{'county': 'Kern County', 'state_district': 'CAL Fire Southern Region', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-12T22:51:05.927Z,60.8707,-152.5078,15.7,1.0,ml,,,,0.3,ak,ak022d3pke0w,2022-10-12T22:52:35.629Z,"69 km WNW of Nikiski, Alaska",earthquake,,0.2,,,automatic,ak,ak,"-152.5078,60.8707","Kenai Peninsula, Alaska, United States","{'county': 'Kenai Peninsula', 'state': 'Alaska', 'ISO3166-2-lvl4': 'US-AK', 'country': 'United States', 'country_code': 'us'}",Alaska,United States
2022-10-12T22:50:30.770Z,38.7948341,-122.8105011,3.72,0.56,md,13.0,90.0,0.008715,0.03,nc,nc73792881,2022-10-12T22:52:06.675Z,"5km WNW of The Geysers, CA",earthquake,0.45,0.99,0.34,2.0,automatic,nc,nc,"-122.8105011,38.7948341","Geysers Resort Road, Sonoma County, California, United States","{'road': 'Geysers Resort Road', 'county': 'Sonoma County', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-12T22:44:54.465Z,38.834,16.6971,33.741,4.3,mb,64.0,56.0,0.348,1.06,us,us6000it5n,2022-10-12T23:03:05.040Z,"5 km ESE of Barone, Italy",earthquake,4.3,2.625,0.096,31.0,reviewed,us,us,"16.6971,38.834","Marincoli, Simeri Crichi, Catanzaro, Calabria, Italia","{'village': 'Marincoli', 'county': 'Catanzaro', 'ISO3166-2-lvl6': 'IT-CZ', 'state': 'Calabria', 'ISO3166-2-lvl4': 'IT-78', 'country': 'Italia', 'country_code': 'it'}",Calabria,Italia
2022-10-12T22:44:37.920Z,35.0418333,-119.016,19.96,0.95,ml,14.0,67.0,0.135,0.29,ci,ci40360000,2022-10-12T22:48:08.921Z,"14km NW of Grapevine, CA",earthquake,0.92,1.7,0.081,7.0,automatic,ci,ci,"-119.016,35.0418333","Kern County, California, United States","{'county': 'Kern County', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-12T22:39:08.850Z,19.4246673583984,-155.281173706055,-0.430000007152557,1.76999998,md,9.0,118.0,,0.109999999,hv,hv73176247,2022-10-12T22:42:09.020Z,"5 km WSW of Volcano, Hawaii",earthquake,0.2,0.239999995,1.15999997,6.0,automatic,hv,hv,"-155.281173706055,19.4246673583984","Crater Rim Trail, Hawaiʻi County, Hawaii, 96718, United States","{'road': 'Crater Rim Trail', 'county': 'Hawaiʻi County', 'state': 'Hawaii', 'ISO3166-2-lvl4': 'US-HI', 'postcode': '96718', 'country': 'United States', 'country_code': 'us'}",Hawaii,United States
2022-10-12T22:38:46.978Z,63.0933,-150.9007,24.2,1.6,ml,,,,1.3,ak,ak022d3phovt,2022-10-12T22:40:51.710Z,"64 km SE of Denali National Park, Alaska",earthquake,,1.5,,,automatic,ak,ak,"-150.9007,63.0933","Denali, Alaska, United States","{'county': 'Denali', 'state': 'Alaska', 'ISO3166-2-lvl4': 'US-AK', 'country': 'United States', 'country_code': 'us'}",Alaska,United States
2022-10-12T22:37:55.930Z,63.5637,-147.2798,12.9,1.6,ml,,,,0.82,ak,ak022d3phgxj,2022-10-12T22:40:54.678Z,"83 km ESE of Denali Park, Alaska",earthquake,,0.3,,,automatic,ak,ak,"-147.2798,63.5637","Denali, Alaska, United States","{'county': 'Denali', 'state': 'Alaska', 'ISO3166-2-lvl4': 'US-AK', 'country': 'United States', 'country_code': 'us'}",Alaska,United States
2022-10-12T22:26:59.119Z,59.8533,-153.4213,138.7,1.2,ml,,,,0.52,ak,ak022d3pf4jk,2022-10-12T22:29:48.767Z,"39 km E of Pedro Bay, Alaska",earthquake,,0.5,,,automatic,ak,ak,"-153.4213,59.8533","Kenai Peninsula, Alaska, United States","{'county': 'Kenai Peninsula', 'state': 'Alaska', 'ISO3166-2-lvl4': 'US-AK', 'country': 'United States', 'country_code': 'us'}",Alaska,United States
2022-10-12T22:22:16.669Z,35.95064926,-97.88269806,2.124995708,3.5,ml,91.0,30.07589722,0.08566576242,0.6116313549,ok,ok2022uapd,2022-10-13T02:02:18.796Z,"4 km SE of Dover, Oklahoma",earthquake,1.253384853,1.151274281,,66.0,automatic,ok,ok,"-97.88269806,35.95064926","Kingfisher County, Oklahoma, 73734, United States","{'county': 'Kingfisher County', 'state': 'Oklahoma', 'ISO3166-2-lvl4': 'US-OK', 'postcode': '73734', 'country': 'United States', 'country_code': 'us'}",Oklahoma,United States
2022-10-12T22:20:55.000Z,38.8363342,-122.7923355,2.3,0.98,md,17.0,66.0,0.002591,0.02,nc,nc73792871,2022-10-12T22:22:30.252Z,"6km WNW of Cobb, CA",earthquake,0.25,0.46,0.15,4.0,automatic,nc,nc,"-122.7923355,38.8363342","Lake County, California, 95426, United States","{'county': 'Lake County', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'postcode': '95426', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-12T22:18:25.170Z,38.8030014,-122.7731705,1.62,0.35,md,7.0,97.0,0.01078,0.01,nc,nc73792866,2022-10-12T22:20:00.529Z,"3km NNW of The Geysers, CA",earthquake,0.46,1.18,,1.0,automatic,nc,nc,"-122.7731705,38.8030014","Sonoma County, CAL Fire Northern Region, California, United States","{'county': 'Sonoma County', 'state_district': 'CAL Fire Northern Region', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-12T22:09:48.420Z,17.9336666666667,-66.8575,16.7,1.84,md,7.0,220.0,,0.06,pr,pr71376528,2022-10-12T22:52:13.930Z,"5 km SE of Maria Antonia, Puerto Rico",earthquake,0.44,0.43,0.0819983363235693,4.0,reviewed,pr,pr,"-66.8575,17.9336666666667","Puerto Rico, United States","{'state': 'Puerto Rico', 'ISO3166-2-lvl4': 'US-PR', 'country': 'United States', 'country_code': 'us'}",Puerto Rico,United States
2022-10-12T22:09:07.278Z,53.2129,-170.0289,232.683,3.2,ml,21.0,170.0,0.398,0.41,us,us6000it6i,2022-10-13T00:59:42.040Z,"83 km WNW of Nikolski, Alaska",earthquake,13.15,7.832,0.077,22.0,reviewed,us,us,"-170.0289,53.2129","Alaska, United States","{'state': 'Alaska', 'ISO3166-2-lvl4': 'US-AK', 'country': 'United States', 'country_code': 'us'}",Alaska,United States
2022-10-12T22:08:51.220Z,38.8231659,-122.7969971,2.44,0.7,md,19.0,51.0,0.01022,0.02,nc,nc73792861,2022-10-12T22:10:26.381Z,"6km NW of The Geysers, CA",earthquake,0.25,0.48,0.14,4.0,automatic,nc,nc,"-122.7969971,38.8231659","Sonoma County, CAL Fire Northern Region, California, United States","{'county': 'Sonoma County', 'state_district': 'CAL Fire Northern Region', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-12T22:03:57.060Z,38.7900009,-122.7711639,1.53,0.36,md,6.0,166.0,0.01347,0.04,nc,nc73792856,2022-10-12T22:05:31.254Z,"2km NW of The Geysers, CA",earthquake,0.75,1.31,,1.0,automatic,nc,nc,"-122.7711639,38.7900009","Big Sulphur Creek Road, Sonoma County, California, United States","{'road': 'Big Sulphur Creek Road', 'county': 'Sonoma County', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-12T21:55:12.241Z,58.2671,-154.9416,5.3,0.3,ml,,,,0.35,ak,ak022d3ozts7,2022-10-12T21:57:01.587Z,Alaska Peninsula,earthquake,,0.7,,,automatic,ak,ak,"-154.9416,58.2671","Kodiak Island, Alaska, United States","{'county': 'Kodiak Island', 'state': 'Alaska', 'ISO3166-2-lvl4': 'US-AK', 'country': 'United States', 'country_code': 'us'}",Alaska,United States
2022-10-12T21:54:40.560Z,38.7939987,-122.809166,3.07,1.39,md,29.0,77.0,0.007401,0.04,nc,nc73792836,2022-10-12T22:56:13.445Z,"5km WNW of The Geysers, CA",earthquake,0.24,0.44,0.02,6.0,automatic,nc,nc,"-122.809166,38.7939987","Geysers Resort Road, Sonoma County, California, United States","{'road': 'Geysers Resort Road', 'county': 'Sonoma County', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-12T21:52:27.030Z,38.7958336,-122.8108368,4.0,0.56,md,14.0,86.0,0.009646,0.02,nc,nc73792826,2022-10-12T21:54:01.021Z,"5km WNW of The Geysers, CA",earthquake,0.4,1.16,0.34,2.0,automatic,nc,nc,"-122.8108368,38.7958336","Geysers Resort Road, Sonoma County, California, United States","{'road': 'Geysers Resort Road', 'county': 'Sonoma County', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-12T21:50:57.550Z,17.7061,-63.507,43.0,3.94,md,18.0,223.0,0.5528,0.28,pr,pr2022285001,2022-10-13T00:22:13.040Z,"28 km WNW of The Bottom, Bonaire, Saint Eustatius and Saba ",earthquake,1.28,2.78,0.11,14.0,reviewed,pr,pr,"-63.507,17.7061",,0,0,0
2022-10-12T21:50:14.070Z,38.7943344,-122.8098297,3.23,0.83,md,23.0,76.0,0.007994,0.03,nc,nc73792821,2022-10-12T21:51:51.118Z,"5km WNW of The Geysers, CA",earthquake,0.28,0.54,0.28,4.0,automatic,nc,nc,"-122.8098297,38.7943344","Geysers Resort Road, Sonoma County, California, United States","{'road': 'Geysers Resort Road', 'county': 'Sonoma County', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-12T21:45:20.100Z,38.7944984,-122.8098297,3.27,1.27,md,28.0,76.0,0.008117,0.03,nc,nc73792811,2022-10-12T21:54:11.083Z,"5km WNW of The Geysers, CA",earthquake,0.23,0.44,0.09,6.0,automatic,nc,nc,"-122.8098297,38.7944984","Geysers Resort Road, Sonoma County, California, United States","{'road': 'Geysers Resort Road', 'county': 'Sonoma County', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-12T21:39:30.145Z,60.5165,-151.769,69.9,1.5,ml,,,,0.22,ak,ak022d3owf6g,2022-10-12T22:07:41.226Z,"27 km WSW of Salamatof, Alaska",earthquake,,0.9,,,reviewed,ak,ak,"-151.769,60.5165","Kenai Peninsula, Alaska, United States","{'county': 'Kenai Peninsula', 'state': 'Alaska', 'ISO3166-2-lvl4': 'US-AK', 'country': 'United States', 'country_code': 'us'}",Alaska,United States
2022-10-12T21:39:04.940Z,38.8300018,-122.8115005,2.14,0.97,md,22.0,45.0,0.006691,0.01,nc,nc73792806,2022-10-12T21:40:40.992Z,"8km NW of The Geysers, CA",earthquake,0.21,0.41,0.09,4.0,automatic,nc,nc,"-122.8115005,38.8300018","8500, Lakeview Road, Sonoma County, California, 95426, United States","{'house_number': '8500', 'road': 'Lakeview Road', 'county': 'Sonoma County', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'postcode': '95426', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-12T21:35:48.487Z,31.5555,-104.1486,9.121,2.7,ml,42.0,54.0,0.202,0.46,us,us6000it54,2022-10-13T00:17:44.040Z,"43 km NW of Toyah, Texas",earthquake,1.49,8.456,0.057,64.0,reviewed,us,us,"-104.1486,31.5555","Culberson County, Texas, United States","{'county': 'Culberson County', 'state': 'Texas', 'ISO3166-2-lvl4': 'US-TX', 'country': 'United States', 'country_code': 'us'}",Texas,United States
2022-10-12T21:32:36.540Z,19.1415004730225,-155.516998291016,37.0200004577637,2.1099999,md,36.0,147.0,,0.109999999,hv,hv73176207,2022-10-12T21:35:49.290Z,"7 km SSW of Pāhala, Hawaii",earthquake,0.63,1.21000004,1.66999996,14.0,automatic,hv,hv,"-155.516998291016,19.1415004730225","Alahaki Road, Hawaiʻi County, Hawaii, United States","{'road': 'Alahaki Road', 'county': 'Hawaiʻi County', 'state': 'Hawaii', 'ISO3166-2-lvl4': 'US-HI', 'country': 'United States', 'country_code': 'us'}",Hawaii,United States
2022-10-12T21:18:18.370Z,38.8238335,-122.7669983,2.17,0.7,md,10.0,116.0,0.007008,0.01,nc,nc73792801,2022-10-12T21:19:56.037Z,"4km W of Cobb, CA",earthquake,0.37,0.85,0.15,2.0,automatic,nc,nc,"-122.7669983,38.8238335","Lake County, California, 95426, United States","{'county': 'Lake County', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'postcode': '95426', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-12T21:08:44.278Z,36.9354,-117.5312,3.2,0.8,ml,14.0,149.65,0.311,0.1256,nn,nn00849101,2022-10-12T21:21:30.999Z,"58 km NNE of Keeler, California",earthquake,,4.0,0.92,7.0,reviewed,nn,nn,"-117.5312,36.9354","Inyo County, California, United States","{'county': 'Inyo County', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'country': 'United States', 'country_code': 'us'}",California,United States
